name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	1	1	0.0
Sorangium cellulosum	56	species	14124497	1	1	0.0
Lysobacter enzymogenes	69	species	6096022	1	0	0.0
Burkholderia cepacia	292	species	17650414	2	0	0.0
Pseudomonas syringae	317	species	9007236	1	0	0.0
Agrobacterium rhizogenes	359	species	5114384	1	0	0.0
Bradyrhizobium sp.	376	species	7547693	1	0	0.0
Rhizobium	379	genus	0	1	1	0.0
Sinorhizobium fredii	380	species	6844330	1	1	0.0
Chromobacterium violaceum	536	species	4568609	1	1	0.0
Acidaminococcus fermentans	905	species	2329769	1	0	0.0
Kytococcus sedentarius	1276	species	2785024	1	1	0.0
Streptococcus salivarius	1304	species	5867551	1	0	0.0
Streptococcus suis	1307	species	3647182	1	0	0.0
Trueperella pyogenes	1661	species	3453353	2	2	0.0
Bifidobacterium adolescentis	1680	species	3233293	1	0	0.0
Bifidobacterium dentium	1689	species	2636018	1	0	0.0
Bifidobacterium pseudolongum	1694	species	2006319	1	1	0.0
Brevibacterium linens	1703	species	8072179	1	1	0.0
Cellulomonas fimi	1708	species	4266344	1	1	0.0
Cellulosimicrobium cellulans	1710	species	4799856	5	5	0.0
Cellulomonas flavigena	1711	species	4123179	2	2	0.0
Propionibacterium freudenreichii	1744	species	9202046	3	3	0.0
Acidipropionibacterium acidipropionici	1748	species	9146044	1	1	0.0
Pseudopropionibacterium propionicum	1750	species	3449360	1	1	0.0
Mycobacterium phlei	1771	species	5349645	1	0	0.0
Mycobacterium marinum	1781	species	6555333	1	1	0.0
Mycobacterium thermoresistibile	1797	species	4950685	2	2	0.0
Amycolatopsis methanolica	1814	species	7237391	2	1	0.0
Frankia alni	1859	species	7497934	1	1	0.0
Dermatophilus	1862	genus	0	1	0	0.0
Actinoplanes missouriensis	1866	species	8773466	3	2	0.0
Streptomyces	1883	genus	0	2	0	0.0
Streptomyces albus	1888	species	15352626	2	0	0.0
Kitasatospora aureofaciens	1894	species	7076402	2	1	0.0
Streptomyces coelicolor	1902	species	9054847	2	2	0.0
Streptomyces lincolnensis	1915	species	10319054	1	1	0.0
Streptomyces reticuli	1926	species	9336224	1	1	0.0
Streptomyces peucetius	1950	species	8023114	1	1	0.0
Streptosporangium roseum	2001	species	10369518	1	0	0.0
Nocardiopsis dassonvillei	2014	species	9885199	1	1	0.0
Thermobifida fusca	2021	species	3642249	1	1	0.0
Microbacterium testaceum	2033	species	3982034	1	1	0.0
Mobiluncus curtisii	2051	species	2146480	1	1	0.0
Kitasatospora setae	2066	species	8783278	1	1	0.0
Burkholderia mallei	13373	species	31986505	1	0	0.0
Bifidobacterium animalis	28025	species	2189842	1	1	0.0
Rubrivivax gelatinosus	28068	species	5043253	1	0	0.0
Cronobacter sakazakii	28141	species	5648091	1	0	0.0
Komagataeibacter xylinus	28448	species	3734198	1	1	0.0
Burkholderia pseudomallei	28450	species	17762618	1	0	0.0
Streptomyces cattleya	29303	species	16188068	1	1	0.0
Achromobacter denitrificans	32002	species	13155420	2	2	0.0
Burkholderia	32008	genus	0	1	0	0.0
Cutibacterium granulosum	33011	species	2175244	1	1	0.0
Rathayibacter	33886	genus	0	1	0	0.0
Bifidobacterium thermophilum	33905	species	2291643	1	1	0.0
Kineococcus	33981	genus	0	1	0	0.0
Komagataeibacter europaeus	33995	species	3797909	1	0	0.0
Bifidobacterium choerinum	35760	species	2257294	1	1	0.0
Nocardia brasiliensis	37326	species	9185930	2	2	0.0
Nocardia nova	37330	species	8348532	1	0	0.0
Nocardia seriolae	37332	species	16426251	1	1	0.0
Rhodococcus opacus	37919	species	8880502	2	2	0.0
Sinomonas atrocyanea	37927	species	4492204	1	1	0.0
Streptomyces pristinaespiralis	38300	species	8532592	1	1	0.0
Kutzneria albida	43357	species	9874926	2	0	0.0
Paenarthrobacter aurescens	43663	species	5226648	1	1	0.0
Brachybacterium faecium	43669	species	3614992	3	2	0.0
